Date,Open,High,Low,Close,Adj Close,Volume
1998-05-15,2.937500,3.000000,2.937500,3.000000,3.000000,700
1998-05-18,2.937500,3.062500,2.875000,3.000000,3.000000,26800
1998-05-19,2.875000,3.187500,2.875000,3.062500,3.062500,191500
1998-05-20,3.078125,3.187500,3.000000,3.125000,3.125000,1014900
1998-05-21,3.125000,3.500000,3.125000,3.125000,3.125000,435300
1998-05-22,3.062500,3.250000,3.062500,3.062500,3.062500,67800
1998-05-26,3.250000,3.250000,3.000000,3.250000,3.250000,107300
1998-05-27,3.250000,3.250000,2.687500,2.687500,2.687500,167100
1998-05-28,2.750000,2.937500,2.750000,2.812500,2.812500,15800
1998-05-29,2.875000,2.875000,2.687500,2.750000,2.750000,71000
1998-06-01,2.937500,2.937500,2.687500,2.718750,2.718750,64600
1998-06-02,2.750000,2.875000,2.625000,2.750000,2.750000,22400
1998-06-03,2.750000,2.812500,2.437500,2.437500,2.437500,84600
1998-06-04,2.375000,2.687500,2.375000,2.500000,2.500000,61200
1998-06-05,2.750000,2.750000,2.500000,2.500000,2.500000,35300
1998-06-08,2.687500,2.687500,2.562500,2.562500,2.562500,21300
1998-06-09,2.687500,2.687500,2.312500,2.312500,2.312500,115900
1998-06-10,2.437500,2.625000,2.343750,2.375000,2.375000,114900
1998-06-11,2.500000,3.000000,2.500000,2.968750,2.968750,489000
1998-06-12,2.968750,2.968750,2.687500,2.687500,2.687500,15400
1998-06-15,2.687500,2.750000,2.500000,2.500000,2.500000,19900
1998-06-16,2.562500,2.625000,2.500000,2.562500,2.562500,13800
1998-06-17,2.625000,2.750000,2.625000,2.656250,2.656250,9100
1998-06-18,2.656250,2.656250,2.656250,2.656250,2.656250,500
1998-06-19,2.750000,2.750000,2.687500,2.750000,2.750000,5300
1998-06-22,2.750000,2.812500,2.687500,2.687500,2.687500,12000
1998-06-23,2.687500,2.812500,2.687500,2.687500,2.687500,89600
1998-06-24,2.687500,2.875000,2.687500,2.718750,2.718750,96200
1998-06-25,2.812500,2.812500,2.687500,2.687500,2.687500,12700
1998-06-26,2.812500,2.812500,2.687500,2.687500,2.687500,52600
1998-06-29,2.718750,2.718750,2.656250,2.656250,2.656250,4800
1998-06-30,2.750000,2.875000,2.625000,2.812500,2.812500,52400
1998-07-01,2.625000,2.687500,2.625000,2.625000,2.625000,10300
1998-07-02,2.687500,2.812500,2.625000,2.656250,2.656250,20200
1998-07-06,2.562500,2.687500,2.500000,2.687500,2.687500,33400
1998-07-07,2.625000,2.625000,2.625000,2.625000,2.625000,9000
1998-07-08,2.781250,2.781250,2.625000,2.625000,2.625000,10000
1998-07-09,2.625000,2.812500,2.625000,2.812500,2.812500,57300
1998-07-10,2.750000,2.812500,2.687500,2.687500,2.687500,19600
1998-07-13,2.812500,2.812500,2.687500,2.687500,2.687500,9400
1998-07-14,2.812500,2.812500,2.625000,2.625000,2.625000,34900
1998-07-15,2.750000,2.750000,2.687500,2.750000,2.750000,32200
1998-07-16,2.750000,2.812500,2.687500,2.750000,2.750000,111900
1998-07-17,2.718750,2.875000,2.687500,2.875000,2.875000,90400
1998-07-20,2.750000,2.875000,2.562500,2.562500,2.562500,107200
1998-07-21,2.562500,2.750000,2.562500,2.750000,2.750000,17100
1998-07-22,2.625000,3.000000,2.625000,2.750000,2.750000,65500
1998-07-23,2.937500,2.937500,2.250000,2.250000,2.250000,39900
1998-07-24,2.500000,2.625000,2.312500,2.312500,2.312500,10900
1998-07-27,2.687500,2.687500,2.000000,2.125000,2.125000,59400
1998-07-28,2.000000,2.312500,2.000000,2.187500,2.187500,6800
1998-07-29,2.312500,2.343750,2.250000,2.250000,2.250000,45200
1998-07-30,2.250000,2.500000,2.250000,2.250000,2.250000,108300
1998-07-31,2.250000,2.250000,2.250000,2.250000,2.250000,0
1998-08-03,2.250000,2.312500,2.187500,2.312500,2.312500,48000
1998-08-04,2.250000,2.250000,2.250000,2.250000,2.250000,16100
1998-08-05,2.312500,2.375000,2.250000,2.250000,2.250000,146200
1998-08-06,2.250000,2.250000,1.968750,2.062500,2.062500,131000
1998-08-07,2.062500,2.125000,2.000000,2.031250,2.031250,72600
1998-08-10,2.250000,2.250000,2.000000,2.000000,2.000000,30100
1998-08-11,1.937500,2.125000,1.937500,1.968750,1.968750,81000
1998-08-12,2.062500,2.125000,1.937500,1.937500,1.937500,31800
1998-08-13,1.937500,2.000000,1.750000,2.000000,2.000000,12300
1998-08-14,2.125000,2.125000,1.750000,1.750000,1.750000,7900
1998-08-17,1.875000,2.000000,1.750000,2.000000,2.000000,15600
1998-08-18,1.750000,1.812500,1.500000,1.750000,1.750000,110500
1998-08-19,1.500000,1.625000,1.500000,1.625000,1.625000,12500
1998-08-20,1.750000,1.750000,1.437500,1.468750,1.468750,12500
1998-08-21,1.625000,1.625000,1.625000,1.625000,1.625000,3300
1998-08-24,1.375000,1.500000,1.375000,1.500000,1.500000,24400
1998-08-25,1.375000,1.375000,1.125000,1.250000,1.250000,35900
1998-08-26,1.500000,1.625000,1.187500,1.187500,1.187500,16900
1998-08-27,1.375000,1.500000,1.250000,1.250000,1.250000,11500
1998-08-28,1.250000,1.250000,1.093750,1.250000,1.250000,23700
1998-08-31,1.031250,1.125000,1.031250,1.046875,1.046875,46200
1998-09-01,1.031250,1.250000,1.000000,1.125000,1.125000,23200
1998-09-02,1.250000,1.250000,0.984375,1.250000,1.250000,180600
1998-09-03,1.000000,1.000000,1.000000,1.000000,1.000000,3200
1998-09-04,1.000000,1.000000,1.000000,1.000000,1.000000,3300
1998-09-08,1.000000,1.062500,1.000000,1.062500,1.062500,21900
1998-09-09,1.062500,1.062500,1.062500,1.062500,1.062500,6500
1998-09-10,1.000000,1.250000,1.000000,1.187500,1.187500,7500
1998-09-11,1.250000,1.250000,1.250000,1.250000,1.250000,19200
1998-09-14,1.125000,1.187500,1.125000,1.125000,1.125000,3600
1998-09-15,1.187500,1.187500,1.000000,1.015625,1.015625,59700
1998-09-16,1.000000,1.015625,1.000000,1.015625,1.015625,173200
1998-09-17,1.000000,1.031250,1.000000,1.000000,1.000000,117300
1998-09-18,1.218750,1.218750,1.218750,1.218750,1.218750,100
1998-09-21,1.000000,1.000000,1.000000,1.000000,1.000000,32300
1998-09-22,1.000000,1.031250,1.000000,1.031250,1.031250,142400
1998-09-23,1.031250,1.031250,1.031250,1.031250,1.031250,34500
1998-09-24,1.000000,1.000000,0.875000,0.875000,0.875000,33000
1998-09-25,0.968750,1.000000,0.968750,1.000000,1.000000,26000
1998-09-28,1.000000,1.000000,1.000000,1.000000,1.000000,0
1998-09-29,0.937500,1.000000,0.937500,1.000000,1.000000,6800
1998-09-30,0.937500,0.968750,0.937500,0.937500,0.937500,86700
1998-10-01,0.875000,0.875000,0.781250,0.781250,0.781250,5000
1998-10-02,0.781250,0.781250,0.750000,0.781250,0.781250,9000
1998-10-05,0.812500,0.968750,0.812500,0.906250,0.906250,42500
1998-10-06,0.937500,0.937500,0.906250,0.937500,0.937500,24400
1998-10-07,0.906250,0.906250,0.906250,0.906250,0.906250,6000
1998-10-08,0.906250,0.937500,0.843750,0.875000,0.875000,67400
1998-10-09,0.937500,0.937500,0.843750,0.843750,0.843750,38700
1998-10-12,0.937500,0.937500,0.812500,0.937500,0.937500,57200
1998-10-13,0.937500,0.937500,0.937500,0.937500,0.937500,26000
1998-10-14,1.031250,1.062500,0.937500,1.031250,1.031250,23500
1998-10-15,1.000000,1.000000,1.000000,1.000000,1.000000,25500
1998-10-16,0.875000,0.968750,0.687500,0.968750,0.968750,47600
1998-10-19,0.781250,0.875000,0.750000,0.750000,0.750000,42300
1998-10-20,0.750000,0.906250,0.750000,0.843750,0.843750,32300
1998-10-21,0.812500,1.000000,0.812500,0.968750,0.968750,33800
1998-10-22,0.968750,1.031250,0.968750,1.031250,1.031250,56600
1998-10-23,1.062500,1.062500,0.968750,1.000000,1.000000,98000
1998-10-26,1.000000,1.062500,0.968750,0.968750,0.968750,113000
1998-10-27,0.968750,1.000000,0.875000,1.000000,1.000000,37000
1998-10-28,0.875000,0.875000,0.875000,0.875000,0.875000,12100
1998-10-29,0.875000,0.875000,0.875000,0.875000,0.875000,40700
1998-10-30,0.812500,0.937500,0.812500,0.875000,0.875000,44900
1998-11-02,0.906250,0.937500,0.875000,0.906250,0.906250,33700
1998-11-03,0.875000,0.906250,0.875000,0.906250,0.906250,4300
1998-11-04,0.812500,0.906250,0.812500,0.812500,0.812500,10700
1998-11-05,0.906250,0.906250,0.906250,0.906250,0.906250,2000
1998-11-06,0.750000,0.875000,0.687500,0.750000,0.750000,40700
1998-11-09,0.750000,0.750000,0.750000,0.750000,0.750000,5000
1998-11-10,0.812500,0.875000,0.781250,0.875000,0.875000,23000
1998-11-11,0.781250,0.937500,0.750000,0.937500,0.937500,10000
1998-11-12,0.781250,0.937500,0.750000,0.906250,0.906250,18800
1998-11-13,0.875000,0.875000,0.875000,0.875000,0.875000,1000
1998-11-16,0.875000,0.906250,0.812500,0.906250,0.906250,8200
1998-11-17,0.781250,0.781250,0.781250,0.781250,0.781250,2500
1998-11-18,0.812500,0.812500,0.781250,0.781250,0.781250,5500
1998-11-19,0.781250,0.781250,0.781250,0.781250,0.781250,3300
1998-11-20,0.781250,1.000000,0.750000,1.000000,1.000000,30100
1998-11-23,0.937500,1.000000,0.781250,0.812500,0.812500,17800
1998-11-24,0.906250,0.906250,0.781250,0.781250,0.781250,7700
1998-11-25,0.875000,1.000000,0.750000,1.000000,1.000000,73700
1998-11-27,0.875000,0.937500,0.750000,0.750000,0.750000,37000
1998-11-30,0.937500,0.968750,0.750000,0.875000,0.875000,124700
1998-12-01,0.875000,0.875000,0.750000,0.875000,0.875000,23500
1998-12-02,0.875000,0.875000,0.625000,0.625000,0.625000,116900
1998-12-03,0.812500,0.812500,0.750000,0.812500,0.812500,54800
1998-12-04,0.812500,0.812500,0.687500,0.781250,0.781250,68000
1998-12-07,0.781250,0.781250,0.625000,0.750000,0.750000,28800
1998-12-08,0.656250,0.750000,0.656250,0.656250,0.656250,28200
1998-12-09,0.812500,0.812500,0.625000,0.625000,0.625000,40800
1998-12-10,0.687500,0.750000,0.625000,0.750000,0.750000,30300
1998-12-11,0.750000,0.875000,0.625000,0.875000,0.875000,184500
1998-12-14,0.875000,0.875000,0.625000,0.812500,0.812500,46200
1998-12-15,0.687500,0.812500,0.687500,0.687500,0.687500,15600
1998-12-16,0.687500,0.812500,0.687500,0.687500,0.687500,110000
1998-12-17,0.656250,0.750000,0.625000,0.750000,0.750000,34100
1998-12-18,0.750000,0.812500,0.656250,0.687500,0.687500,58800
1998-12-21,0.812500,0.859375,0.656250,0.812500,0.812500,161500
1998-12-22,0.812500,0.875000,0.687500,0.718750,0.718750,30100
1998-12-23,0.750000,0.968750,0.718750,0.812500,0.812500,116000
1998-12-24,0.750000,0.812500,0.687500,0.750000,0.750000,29200
1998-12-28,0.718750,0.750000,0.718750,0.718750,0.718750,14100
1998-12-29,0.718750,0.750000,0.718750,0.718750,0.718750,29700
1998-12-30,0.718750,0.781250,0.718750,0.750000,0.750000,44300
1998-12-31,0.781250,0.781250,0.687500,0.750000,0.750000,74000
1999-01-04,0.687500,0.750000,0.687500,0.750000,0.750000,14900
1999-01-05,0.750000,1.000000,0.750000,0.812500,0.812500,98600
1999-01-06,0.781250,0.968750,0.781250,0.968750,0.968750,79200
1999-01-07,0.953125,1.000000,0.843750,1.000000,1.000000,60800
1999-01-08,1.000000,1.218750,1.000000,1.093750,1.093750,182300
1999-01-11,1.093750,1.156250,1.031250,1.156250,1.156250,45000
1999-01-12,1.187500,1.187500,1.125000,1.187500,1.187500,7100
1999-01-13,1.218750,1.218750,1.000000,1.062500,1.062500,94400
1999-01-14,1.093750,1.093750,1.000000,1.062500,1.062500,106800
1999-01-15,1.062500,1.250000,1.062500,1.093750,1.093750,30400
1999-01-19,1.156250,1.375000,1.125000,1.375000,1.375000,56200
1999-01-20,1.375000,1.375000,1.187500,1.312500,1.312500,17800
1999-01-21,1.375000,1.375000,1.187500,1.312500,1.312500,26900
1999-01-22,1.218750,1.312500,1.187500,1.218750,1.218750,24200
1999-01-25,1.250000,1.250000,1.156250,1.156250,1.156250,8400
1999-01-26,1.156250,1.156250,1.125000,1.125000,1.125000,14700
1999-01-27,1.093750,1.218750,1.093750,1.218750,1.218750,45400
1999-01-28,1.093750,1.218750,1.093750,1.218750,1.218750,18100
1999-01-29,1.125000,1.187500,1.000000,1.031250,1.031250,87300
1999-02-01,1.031250,1.031250,1.031250,1.031250,1.031250,16000
1999-02-02,1.031250,1.125000,1.031250,1.125000,1.125000,4700
1999-02-03,1.031250,1.031250,1.031250,1.031250,1.031250,49800
1999-02-04,1.031250,1.062500,1.015625,1.062500,1.062500,49200
1999-02-05,1.125000,1.125000,1.031250,1.093750,1.093750,25600
1999-02-08,1.093750,1.093750,1.000000,1.000000,1.000000,85700
1999-02-09,1.062500,1.062500,1.031250,1.031250,1.031250,14800
1999-02-10,1.000000,1.031250,1.000000,1.031250,1.031250,10800
1999-02-11,1.000000,1.093750,1.000000,1.093750,1.093750,33600
1999-02-12,1.031250,1.031250,1.031250,1.031250,1.031250,26400
1999-02-16,1.062500,1.093750,1.031250,1.062500,1.062500,9300
1999-02-17,1.062500,1.250000,1.062500,1.187500,1.187500,320600
1999-02-18,1.187500,1.281250,1.125000,1.156250,1.156250,95600
1999-02-19,1.125000,1.281250,1.125000,1.281250,1.281250,39300
1999-02-22,1.312500,1.750000,1.250000,1.562500,1.562500,129900
1999-02-23,1.562500,1.812500,1.500000,1.718750,1.718750,159000
1999-02-24,1.750000,1.750000,1.500000,1.500000,1.500000,69900
1999-02-25,1.500000,1.656250,1.437500,1.625000,1.625000,21700
1999-02-26,1.562500,1.562500,1.250000,1.437500,1.437500,76800
1999-03-01,1.375000,1.500000,1.312500,1.343750,1.343750,28600
1999-03-02,1.281250,1.375000,1.250000,1.375000,1.375000,18500
1999-03-03,1.812500,1.875000,1.375000,1.625000,1.625000,120200
1999-03-04,1.531250,1.687500,1.281250,1.343750,1.343750,57900
1999-03-05,1.343750,1.406250,1.250000,1.250000,1.250000,5600
1999-03-08,1.375000,1.437500,1.312500,1.375000,1.375000,8300
1999-03-09,1.343750,1.375000,1.312500,1.375000,1.375000,16700
1999-03-10,1.437500,1.562500,1.312500,1.375000,1.375000,50800
1999-03-11,1.375000,1.375000,1.343750,1.343750,1.343750,14100
1999-03-12,1.562500,1.562500,1.312500,1.312500,1.312500,24400
1999-03-15,1.250000,1.312500,1.187500,1.187500,1.187500,11000
1999-03-16,1.187500,1.218750,1.125000,1.218750,1.218750,7200
1999-03-17,1.187500,1.187500,1.093750,1.093750,1.093750,28000
1999-03-18,1.125000,1.187500,1.125000,1.156250,1.156250,132600
1999-03-19,1.187500,1.187500,1.062500,1.093750,1.093750,51600
1999-03-22,1.187500,1.187500,1.062500,1.125000,1.125000,16600
1999-03-23,1.125000,1.125000,1.000000,1.062500,1.062500,25500
1999-03-24,1.062500,1.062500,1.000000,1.000000,1.000000,9800
1999-03-25,1.000000,1.031250,1.000000,1.031250,1.031250,58200
1999-03-26,1.000000,1.062500,1.000000,1.000000,1.000000,3700
1999-03-29,1.031250,1.062500,1.000000,1.000000,1.000000,23200
1999-03-30,1.000000,1.062500,1.000000,1.062500,1.062500,9300
1999-03-31,1.062500,1.062500,1.000000,1.062500,1.062500,35500
1999-04-01,1.000000,1.031250,1.000000,1.031250,1.031250,10500
1999-04-05,1.125000,1.125000,1.125000,1.125000,1.125000,3300
1999-04-06,1.000000,1.156250,1.000000,1.062500,1.062500,49700
1999-04-07,1.062500,1.156250,1.062500,1.125000,1.125000,19200
1999-04-08,1.156250,1.250000,1.125000,1.250000,1.250000,70600
1999-04-09,1.218750,1.218750,1.218750,1.218750,1.218750,8000
1999-04-12,1.218750,1.218750,1.093750,1.093750,1.093750,13500
1999-04-13,1.250000,1.250000,1.250000,1.250000,1.250000,8700
1999-04-14,1.187500,1.250000,1.187500,1.250000,1.250000,60400
1999-04-15,1.375000,1.375000,1.250000,1.281250,1.281250,28800
1999-04-16,1.312500,1.375000,1.250000,1.312500,1.312500,12000
1999-04-19,1.187500,1.250000,1.062500,1.062500,1.062500,50300
1999-04-20,1.343750,1.406250,1.093750,1.406250,1.406250,46600
1999-04-21,1.406250,1.437500,1.187500,1.187500,1.187500,14500
1999-04-22,1.375000,1.437500,1.250000,1.437500,1.437500,8100
1999-04-23,1.312500,1.625000,1.250000,1.625000,1.625000,48400
1999-04-26,1.437500,1.656250,1.406250,1.406250,1.406250,90600
1999-04-27,1.437500,1.562500,1.312500,1.437500,1.437500,22100
1999-04-28,1.312500,1.500000,1.312500,1.375000,1.375000,38000
1999-04-29,1.437500,1.500000,1.375000,1.500000,1.500000,7300
1999-04-30,1.500000,1.562500,1.468750,1.500000,1.500000,51700
1999-05-03,1.500000,1.750000,1.437500,1.750000,1.750000,155300
1999-05-04,1.812500,1.812500,1.562500,1.562500,1.562500,56200
1999-05-05,1.562500,1.687500,1.437500,1.687500,1.687500,53100
1999-05-06,1.625000,1.750000,1.437500,1.500000,1.500000,42500
1999-05-07,1.750000,1.812500,1.343750,1.562500,1.562500,64000
1999-05-10,1.625000,1.750000,1.250000,1.375000,1.375000,18300
1999-05-11,1.500000,1.500000,1.312500,1.312500,1.312500,4600
1999-05-12,1.312500,1.437500,1.250000,1.437500,1.437500,19000
1999-05-13,1.437500,1.656250,1.437500,1.500000,1.500000,15700
1999-05-14,1.500000,1.718750,1.250000,1.312500,1.312500,129600
1999-05-17,1.312500,1.343750,1.250000,1.312500,1.312500,39300
1999-05-18,1.312500,1.312500,1.187500,1.250000,1.250000,16900
1999-05-19,1.312500,1.312500,1.187500,1.187500,1.187500,4600
1999-05-20,1.125000,1.375000,1.125000,1.281250,1.281250,90500
1999-05-21,1.281250,1.343750,1.250000,1.312500,1.312500,30600
1999-05-24,1.312500,1.375000,1.250000,1.375000,1.375000,77300
1999-05-25,1.406250,1.406250,1.156250,1.312500,1.312500,77800
1999-05-26,1.265625,1.328125,1.093750,1.250000,1.250000,43700
1999-05-27,1.250000,1.312500,1.125000,1.156250,1.156250,85600
1999-05-28,1.312500,1.312500,1.187500,1.187500,1.187500,4800
1999-06-01,1.437500,1.437500,1.187500,1.218750,1.218750,8200
1999-06-02,1.203125,1.250000,1.203125,1.250000,1.250000,7300
1999-06-03,1.187500,1.312500,1.187500,1.250000,1.250000,30400
1999-06-04,1.250000,1.312500,1.250000,1.281250,1.281250,17100
1999-06-07,1.437500,1.437500,1.281250,1.281250,1.281250,36500
1999-06-08,1.312500,1.312500,1.250000,1.312500,1.312500,13900
1999-06-09,1.343750,1.437500,1.312500,1.375000,1.375000,25400
1999-06-10,1.375000,1.375000,1.281250,1.281250,1.281250,20400
1999-06-11,1.343750,1.500000,1.281250,1.375000,1.375000,72300
1999-06-14,1.375000,1.375000,1.312500,1.312500,1.312500,14200
1999-06-15,1.406250,1.406250,1.312500,1.312500,1.312500,26900
1999-06-16,1.375000,1.375000,1.343750,1.375000,1.375000,41700
1999-06-17,1.343750,1.406250,1.281250,1.312500,1.312500,33000
1999-06-18,1.281250,1.281250,1.281250,1.281250,1.281250,10800
1999-06-21,1.281250,1.406250,1.281250,1.281250,1.281250,20400
1999-06-22,1.343750,1.375000,1.250000,1.343750,1.343750,30500
1999-06-23,1.343750,1.343750,1.250000,1.250000,1.250000,23900
1999-06-24,1.250000,1.250000,1.250000,1.250000,1.250000,18300
1999-06-25,1.296875,1.296875,1.218750,1.218750,1.218750,11000
1999-06-28,1.218750,1.281250,1.218750,1.218750,1.218750,3400
1999-06-29,1.250000,1.312500,1.250000,1.250000,1.250000,13500
1999-06-30,1.265625,1.437500,1.265625,1.437500,1.437500,66400
1999-07-01,1.468750,1.500000,1.406250,1.437500,1.437500,43400
1999-07-02,1.437500,1.453125,1.406250,1.437500,1.437500,11200
1999-07-06,1.437500,1.437500,1.343750,1.375000,1.375000,82600
1999-07-07,1.359375,1.406250,1.343750,1.343750,1.343750,11400
1999-07-08,1.343750,1.406250,1.312500,1.406250,1.406250,60700
1999-07-09,1.437500,1.562500,1.437500,1.500000,1.500000,145400
1999-07-12,1.500000,1.531250,1.281250,1.312500,1.312500,68200
1999-07-13,1.500000,1.500000,1.312500,1.312500,1.312500,56100
1999-07-14,1.312500,1.375000,1.250000,1.250000,1.250000,63500
1999-07-15,1.250000,1.343750,1.250000,1.281250,1.281250,54500
1999-07-16,1.375000,1.437500,1.312500,1.406250,1.406250,9500
1999-07-19,1.437500,1.468750,1.312500,1.375000,1.375000,12500
1999-07-20,1.500000,1.656250,1.375000,1.406250,1.406250,198900
1999-07-21,1.406250,1.406250,1.406250,1.406250,1.406250,200
1999-07-22,1.500000,1.500000,1.437500,1.468750,1.468750,17700
1999-07-23,1.500000,1.625000,1.437500,1.500000,1.500000,50000
1999-07-26,1.500000,1.562500,1.437500,1.437500,1.437500,15500
1999-07-27,1.500000,1.562500,1.437500,1.500000,1.500000,15300
1999-07-28,1.531250,1.531250,1.437500,1.437500,1.437500,26100
1999-07-29,1.437500,1.437500,1.437500,1.437500,1.437500,29400
1999-07-30,1.625000,1.625000,1.375000,1.375000,1.375000,23300
1999-08-02,1.468750,1.468750,1.437500,1.437500,1.437500,17400
1999-08-03,1.562500,1.562500,1.375000,1.500000,1.500000,11500
1999-08-04,1.437500,1.562500,1.375000,1.406250,1.406250,11400
1999-08-05,1.500000,1.500000,1.468750,1.468750,1.468750,5100
1999-08-06,1.500000,1.500000,1.375000,1.468750,1.468750,22300
1999-08-09,1.375000,1.375000,1.375000,1.375000,1.375000,1600
1999-08-10,1.437500,1.437500,1.343750,1.343750,1.343750,22000
1999-08-11,1.484375,1.484375,1.343750,1.343750,1.343750,19500
1999-08-12,1.406250,1.406250,1.343750,1.343750,1.343750,11900
1999-08-13,1.375000,1.437500,1.343750,1.343750,1.343750,8900
1999-08-16,1.437500,1.500000,1.437500,1.437500,1.437500,67800
1999-08-17,1.546875,1.562500,1.437500,1.468750,1.468750,83900
1999-08-18,1.500000,1.562500,1.468750,1.562500,1.562500,30100
1999-08-19,1.531250,1.625000,1.437500,1.437500,1.437500,84800
1999-08-20,1.375000,1.625000,1.375000,1.625000,1.625000,19300
1999-08-23,1.515625,1.625000,1.515625,1.625000,1.625000,47500
1999-08-24,1.562500,1.625000,1.531250,1.531250,1.531250,18100
1999-08-25,1.562500,1.625000,1.562500,1.625000,1.625000,117800
1999-08-26,1.750000,1.750000,1.656250,1.656250,1.656250,4200
1999-08-27,1.625000,1.750000,1.625000,1.625000,1.625000,21800
1999-08-30,1.750000,1.750000,1.687500,1.734375,1.734375,26800
1999-08-31,1.687500,1.875000,1.687500,1.875000,1.875000,21400
1999-09-01,1.796875,1.937500,1.750000,1.812500,1.812500,36200
1999-09-02,1.859375,2.062500,1.859375,1.875000,1.875000,66700
1999-09-03,2.031250,2.562500,2.000000,2.250000,2.250000,154100
1999-09-07,2.500000,2.500000,2.125000,2.468750,2.468750,72300
